filename,attribution,lat,long,date,species,sr
Clip014_BCI_01.wav,https://zenodo.org/records/7591959,9.15,-79.84,2023,wind,96000
rain-and-thunder-113218_01.wav,https://pixabay.com/users/soundsforyou-4861230/,,,,thunder,44100
rain-and-thunder-113218_02.wav,https://pixabay.com/users/soundsforyou-4861230/,,,,thunder,44100
background-wind-69717_01.wav,https://pixabay.com/sound-effects/background-wind-69717/,,,,wind,48000
Water-Drips-Raining-00-c-FesliyanStudios.com_01.wav,https://www.fesliyanstudios.com/royalty-free-sound-effects-download/rain-21,,,,rain,48000
20230615_153400_02.WAV,,,,,wind,96000
20230615_153400_01.WAV,,,,,wind,96000
20230615_151600_02.WAV,,,,,wind,96000
20230615_151600_01.WAV,,,,,wind,96000
20230615_151300_01.WAV,,,,,wind,96000
20230615_032900_03.WAV,,,,,wind,96000
20230615_032900_02.WAV,,,,,wind,96000
20230615_032900_01.WAV,,,,,wind,96000
20230615_031500_01.WAV,,,,,wind,96000
20230615_031400_01.WAV,,,,,wind,96000
20230615_025200_01.WAV,,,,,rain,96000
20230615_025100_01.WAV,,,,,wind,96000
20230615_025600_01.WAV,,,,,sticks,96000
20230615_022600_02.WAV,,,,,sticks,96000
20230325_000002_hinewai_03.wav,,,,,wind,96000
20230325_000002_hinewai_02.wav,,,,,wind,96000
